127.0.0.1, 2016-10-10 15:10:47, POST, /admin/default/index, HTTP/1.1, 303, 0.029641
127.0.0.1, 2016-10-10 15:10:47, GET, /admin/default/site, HTTP/1.1, 200, 0.033185
127.0.0.1, 2016-10-10 15:10:48, POST, /admin/default/check_version, HTTP/1.1, 200, 1.112901
127.0.0.1, 2016-10-10 15:10:50, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.022244
127.0.0.1, 2016-10-10 15:10:50, GET, /admin/default/site, HTTP/1.1, 200, 0.031235
127.0.0.1, 2016-10-10 15:10:53, GET, /admin/debug/interact, HTTP/1.1, 200, 0.132659
127.0.0.1, 2016-10-10 15:10:53, GET, /admin/static/_2.14.6/js/autoscroll.js, HTTP/1.1, 200, 0.000291
127.0.0.1, 2016-10-10 15:10:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2016-10-10 15:10:56, GET, /admin/debug/interact, HTTP/1.1, 200, 0.013237
127.0.0.1, 2016-10-10 15:10:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2016-10-10 15:10:57, GET, /admin/default/site, HTTP/1.1, 200, 0.033381
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/default/documentation, HTTP/1.1, 200, 0.180118
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000496
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000607
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000269
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000616
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.002449
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.002216
127.0.0.1, 2016-10-10 15:10:59, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.001285
127.0.0.1, 2016-10-10 15:11:01, GET, /admin/default/site, HTTP/1.1, 200, 0.034378
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/default/index, HTTP/1.1, 200, 0.077573
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000458
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000420
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000443
127.0.0.1, 2016-10-10 15:11:03, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000424
127.0.0.1, 2016-10-10 15:11:06, GET, /admin/default/site, HTTP/1.1, 200, 0.032503
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.281000
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001322
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000756
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000524
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002744
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000806
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002504
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003559
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001413
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001971
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000711
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000407
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000506
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001121
127.0.0.1, 2016-10-10 15:11:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001383
